id_cliente;seg_str;ocupacion;tipo_vivienda;nivel_academico;estado_civil;genero;edad;ingreso_rango;Valor_telecom;edad2
17356;EMPRENDEDOR;3;F;H;I;M;38;No disponible;83961.48;36-40
18595;EMPRENDEDOR;3;R;U;M;M;36;No disponible;1014729.63;36-40
18714;OTRO;1;I;T;F;F;33;No disponible;274261.11;31-35
20668;PERSONAL;1;I;U;F;M;36;No disponible;20842.85;36-40
22311;EMPRENDEDOR;3;O;T;I;M;61;No disponible;40028.25;mas 60
24113;PERSONAL;1;I;H;M;M;35;No disponible;354844.53;31-35
28007;PERSONAL;1;R;U;M;M;35;No disponible;1208318.62;31-35
28854;PERSONAL PLUS;1;F;U;F;M;36;No disponible;137614.92;36-40
29001;PERSONAL;1;F;I;S;M;36;No disponible;5097.73;36-40
29194;EMPRENDEDOR;3;F;U;I;M;63;No disponible;200984.2;mas 60
29236;PERSONAL PLUS;1;F;U;M;M;59;No disponible;231332.64;51-59
30807;PERSONAL;1;F;I;S;M;38;No disponible;19253.59;36-40
31105;PERSONAL;1;R;U;S;M;36;No disponible;109244.61;36-40
31573;PREFERENCIAL;P;O;U;M;M;71;No disponible;47388.92;mas 60
32069;PREFERENCIAL;1;O;E;M;M;41;No disponible;91268.92;41-45
32389;EMPRENDEDOR;8;I;U;M;M;35;No disponible;19720.52;31-35
33132;PERSONAL PLUS;5;O;T;M;M;70;No disponible;93386.01;mas 60
33626;PREFERENCIAL;5;O;U;M;M;66;No disponible;695536.42;mas 60
34902;PERSONAL;1;O;U;M;M;58;No disponible;875915.69;51-59
35624;PERSONAL PLUS;1;O;U;M;M;56;No disponible;158006.9;51-59
35924;PERSONAL;1;I;U;S;M;33;No disponible;116421.86;31-35
36260;PERSONAL;1;I;U;S;F;35;No disponible;79122.37;31-35
37637;PREFERENCIAL;4;O;I;I;F;79;No disponible;40228.04;mas 60
38220;PERSONAL;1;F;I;S;F;47;No disponible;233780.74;46-50
38363;PERSONAL;1;F;T;S;F;33;No disponible;172415.17;31-35
40223;PERSONAL;1;R;U;S;F;40;No disponible;478339.4;36-40
43588;PERSONAL;5;O;U;S;F;61;No disponible;47715.18;mas 60
43770;PERSONAL;1;F;I;S;F;34;No disponible;222465.69;31-35
44146;PERSONAL;1;F;U;D;F;36;No disponible;36766;36-40
44958;PERSONAL;P;R;U;M;F;47;No disponible;121466.7;46-50
44961;PERSONAL;E;I;U;S;F;55;No disponible;25334.45;51-59
45728;PERSONAL;5;O;N;W;F;65;No disponible;144040.53;mas 60
46013;PERSONAL;1;F;S;M;F;36;No disponible;525263.3;36-40
47362;EMPRENDEDOR;3;R;T;M;F;33;No disponible;261492.1;31-35
47633;PERSONAL;3;F;H;S;F;33;No disponible;59093.86;31-35
48450;PERSONAL;1;F;S;D;F;45;No disponible;531295.92;41-45
48944;PERSONAL;1;I;E;F;F;39;No disponible;37307.07;36-40
49510;EMPRENDEDOR;3;I;I;I;F;53;No disponible;58620.98;51-59
50580;PERSONAL;1;I;I;S;F;44;No disponible;209730.02;41-45
52497;PERSONAL;1;R;H;W;F;59;No disponible;752104.49;51-59
52958;PERSONAL;1;F;T;S;F;39;No disponible;179757.24;36-40
55645;PERSONAL PLUS;5;O;S;M;F;69;No disponible;937619;mas 60
57802;PERSONAL;1;R;I;I;F;47;No disponible;314165.38;46-50
58135;OTRO;1;R;T;F;F;41;No disponible;515650.1;41-45
58554;PERSONAL PLUS;1;I;T;S;F;34;No disponible;218436.4;31-35
59295;OTRO;1;F;U;S;F;35;No disponible;306764.95;31-35
59304;PERSONAL;2;I;I;S;F;34;No disponible;420387;31-35
59340;PERSONAL;1;R;E;M;F;34;No disponible;137970.14;31-35
60043;PERSONAL;1;O;U;S;F;42;No disponible;106030.66;41-45
60562;PERSONAL;1;I;T;F;F;36;No disponible;76377.97;36-40
60748;PERSONAL;1;I;I;M;F;34;No disponible;406561.53;31-35
60780;PERSONAL;1;I;U;S;F;37;No disponible;15787.96;36-40
60899;PERSONAL;1;I;U;I;F;40;No disponible;41279.4;36-40
61286;PERSONAL;5;O;P;W;F;59;No disponible;104882.09;51-59
61338;PERSONAL;1;I;S;M;F;52;No disponible;312787.22;51-59
61586;PERSONAL PLUS;1;O;S;S;F;34;No disponible;307877.7;31-35
62058;PERSONAL;1;F;H;S;F;37;No disponible;478138.4;36-40
63712;OTRO;1;I;T;S;F;34;No disponible;120034.1;31-35
64795;PERSONAL;1;F;H;F;F;69;No disponible;50210.54;mas 60
65662;PERSONAL;1;F;U;F;F;34;No disponible;149903.8;31-35
67912;PERSONAL;I;I;I;M;F;35;No disponible;61294.07;31-35
68260;PERSONAL;1;O;T;F;F;48;No disponible;90116.88;46-50
68900;PERSONAL;1;O;U;M;F;52;No disponible;58761.02;51-59
69237;PERSONAL PLUS;P;R;U;M;F;42;No disponible;190855.7;41-45
69524;PERSONAL;E;I;U;S;F;45;No disponible;40857.63;41-45
72376;PERSONAL PLUS;5;O;U;M;F;63;No disponible;1015320.56;mas 60
73164;EMPRENDEDOR;3;I;I;M;F;56;No disponible;129775.77;51-59
73673;PERSONAL;1;I;U;S;F;37;No disponible;179114.08;36-40
73925;PERSONAL;1;I;T;M;F;51;No disponible;43005.34;51-59
74807;PERSONAL;1;F;E;S;F;37;No disponible;74086.44;36-40
78104;OTRO;1;I;I;I;F;36;No disponible;206930.89;36-40
83410;PERSONAL;1;I;U;S;F;37;No disponible;10197.19;36-40
84132;PERSONAL;1;I;I;M;F;37;No disponible;93683.85;36-40
84168;PERSONAL;1;F;U;S;F;37;No disponible;10142.4;36-40
84405;PERSONAL;1;F;T;S;F;54;No disponible;229682.39;51-59
85344;EMPRENDEDOR;3;I;P;M;F;51;No disponible;154732.06;51-59
88896;PERSONAL;1;O;U;S;F;40;No disponible;254280.03;36-40
94143;PERSONAL;1;I;U;S;F;32;No disponible;341190.95;31-35
94272;PERSONAL;1;O;U;M;F;34;No disponible;5096.16;31-35
94308;PERSONAL;1;I;U;M;F;34;No disponible;50260.89;31-35
94395;PERSONAL;1;I;U;S;F;34;No disponible;20397.74;31-35
96766;OTRO;1;I;U;F;F;35;No disponible;99125.77;31-35
97073;PERSONAL;1;I;U;I;F;34;No disponible;80636.84;31-35
97291;PERSONAL PLUS;1;F;S;M;F;43;No disponible;117937.6;41-45
97769;PERSONAL;1;O;B;F;F;35;No disponible;100906.1;31-35
99006;EMPRENDEDOR;3;I;T;M;F;61;No disponible;201613.13;mas 60
99071;PERSONAL;1;R;U;D;F;60;No disponible;239968.71;mas 60
100527;PERSONAL;4;O;E;M;F;53;No disponible;334458.42;51-59
100576;PERSONAL;1;I;P;M;F;52;No disponible;205605.71;51-59
100777;PREFERENCIAL;1;O;S;D;F;52;No disponible;340106.4;51-59
101100;PERSONAL PLUS;O;I;I;S;F;51;No disponible;14020.1;51-59
101352;PERSONAL;1;R;I;S;F;52;No disponible;70334.27;51-59
101632;EMPRENDEDOR;3;F;S;I;F;49;No disponible;230475.5;46-50
102282;PERSONAL PLUS;1;I;U;F;F;48;No disponible;11864.75;46-50
102616;PERSONAL PLUS;1;I;U;S;F;46;No disponible;102324.93;46-50
104032;PERSONAL;1;F;U;D;F;43;No disponible;54914.08;41-45
104479;EMPRENDEDOR;3;R;T;F;F;45;No disponible;102347.5;41-45
104514;PERSONAL PLUS;1;R;U;F;F;45;No disponible;74276.61;41-45
105498;PERSONAL;1;F;U;S;F;44;No disponible;19607.76;41-45
105572;PERSONAL;1;F;S;M;F;43;No disponible;190471.68;41-45
105668;PERSONAL;1;F;U;S;F;42;No disponible;85041.95;41-45
105882;PERSONAL;1;O;U;S;F;43;No disponible;53210.73;41-45
105930;PERSONAL;O;I;T;I;F;44;No disponible;179439.9;41-45
106830;PERSONAL;1;F;U;S;F;39;No disponible;108937.6;36-40
107085;PERSONAL PLUS;1;I;I;F;F;40;No disponible;878353.21;36-40
107566;PERSONAL PLUS;P;I;U;S;F;38;No disponible;107879.6;36-40
109671;PERSONAL;1;R;E;S;F;36;No disponible;222869.19;36-40
109906;PERSONAL;1;F;U;S;F;49;No disponible;582755.7;46-50
110925;PERSONAL;1;F;U;S;F;38;No disponible;286511.93;36-40
111550;PERSONAL PLUS;1;O;U;M;F;36;No disponible;97865.69;36-40
111664;PERSONAL;1;F;U;S;F;39;No disponible;240941.1;36-40
112138;PERSONAL PLUS;1;F;U;F;F;39;No disponible;116853.78;36-40
112558;OTRO;1;F;U;S;F;36;No disponible;339330.38;36-40
112720;PERSONAL;1;O;S;F;F;35;No disponible;77317.71;31-35
112735;PERSONAL;1;F;T;F;F;35;No disponible;28978.03;31-35
113444;PERSONAL;1;I;U;S;F;37;No disponible;26238.96;36-40
114079;PERSONAL;1;F;T;F;F;37;No disponible;332596.11;36-40
114667;PERSONAL;1;F;U;S;F;36;No disponible;472152.44;36-40
114923;PERSONAL PLUS;1;I;U;I;F;36;No disponible;466768.4;36-40
115583;PERSONAL PLUS;1;F;U;M;F;35;No disponible;99495.95;31-35
115651;PERSONAL;1;I;I;M;F;34;No disponible;44919.41;31-35
115658;PERSONAL;E;F;T;S;F;34;No disponible;221610.11;31-35
116398;PERSONAL;1;I;I;S;F;33;No disponible;102738.8;31-35
116624;PERSONAL;1;R;T;M;F;34;No disponible;174032.56;31-35
116737;EMPRENDEDOR;3;R;I;F;F;33;No disponible;142710.93;31-35
116767;PERSONAL;1;F;I;S;F;33;No disponible;200273.76;31-35
116818;PERSONAL;1;I;T;F;F;34;No disponible;171838.32;31-35
116837;PERSONAL;1;F;I;S;F;33;No disponible;81752.64;31-35
116886;PERSONAL;1;F;U;S;F;32;No disponible;127280.71;31-35
117037;PERSONAL;1;I;I;S;F;34;No disponible;290118.28;31-35
117229;PERSONAL;1;I;T;D;F;33;No disponible;86145.84;31-35
117357;PERSONAL;1;F;U;F;F;34;No disponible;575451.2;31-35
117662;PERSONAL;1;R;U;F;F;33;No disponible;41406.27;31-35
118172;EMPRENDEDOR;3;I;U;S;F;33;No disponible;53485.45;31-35
118804;PERSONAL;1;O;U;F;F;33;No disponible;194622.44;31-35
118994;EMPRENDEDOR;3;F;T;S;F;33;No disponible;293725.26;31-35
119869;PERSONAL;1;I;U;I;F;33;No disponible;173253.51;31-35
120203;OTRO;1;I;U;S;F;33;No disponible;98575.61;31-35
121542;PERSONAL;4;I;I;I;F;45;No disponible;50459.82;41-45
121843;PERSONAL;1;R;T;S;F;42;No disponible;50133.08;41-45
122582;EMPRENDEDOR;3;R;U;O;F;47;No disponible;47675.55;46-50
122731;PERSONAL PLUS;1;I;U;S;F;52;No disponible;311069.72;51-59
122737;PERSONAL PLUS;1;O;U;S;F;45;No disponible;139075.92;41-45
122975;PERSONAL;1;R;H;S;F;45;No disponible;255232.74;41-45
123026;PERSONAL;1;I;E;M;F;44;No disponible;51129.16;41-45
123783;PERSONAL;1;I;I;M;F;34;No disponible;92612.61;31-35
123954;PERSONAL;1;I;I;S;F;33;No disponible;120379.1;31-35
124572;PERSONAL;1;I;U;O;F;37;No disponible;52575.94;36-40
124928;PERSONAL;1;F;U;D;F;44;No disponible;163360.7;41-45
125262;PERSONAL;1;R;H;S;F;39;No disponible;146116.58;36-40
125701;EMPRENDEDOR;3;I;I;M;F;42;No disponible;288418.3;41-45
126281;PERSONAL;1;R;S;S;F;44;No disponible;994661.2;41-45
127289;PERSONAL;1;I;U;M;F;40;No disponible;51027.68;36-40
127674;PERSONAL;1;I;T;S;F;33;No disponible;6313.6;31-35
129889;PERSONAL PLUS;1;O;U;M;M;38;No disponible;192228.81;36-40
130815;PERSONAL;P;O;S;S;M;53;No disponible;1234386.14;51-59
131847;OTRO;1;I;I;S;M;39;No disponible;205726;36-40
133123;PREFERENCIAL;1;F;U;S;M;33;No disponible;189590.25;31-35
135461;PERSONAL;P;I;U;S;M;33;No disponible;10493.89;31-35
138374;EMPRENDEDOR;3;F;U;F;M;46;No disponible;9783.28;46-50
139154;PERSONAL;1;R;U;M;M;43;No disponible;140157.82;41-45
139392;PERSONAL;1;R;U;F;M;42;No disponible;291094.6;41-45
140346;PERSONAL PLUS;P;F;U;S;M;42;No disponible;242232.6;41-45
143146;PERSONAL;P;I;U;M;M;36;No disponible;103983.3;36-40
143455;PERSONAL;1;I;I;S;M;35;No disponible;81606.89;31-35
143458;PERSONAL PLUS;1;F;S;S;M;35;No disponible;86960.25;31-35
144525;PERSONAL;1;O;T;M;M;56;No disponible;383788.25;51-59
145242;EMPRENDEDOR;8;I;T;F;M;36;No disponible;30578.06;36-40
145572;PERSONAL;P;I;U;S;M;33;No disponible;630403.4;31-35
145902;PERSONAL;1;F;E;M;M;41;No disponible;300412.2;41-45
145922;PERSONAL;1;F;E;M;M;35;No disponible;1108379.32;31-35
146447;PERSONAL;1;I;I;M;M;33;No disponible;9735.65;31-35
147665;PERSONAL;S;I;U;S;M;33;No disponible;61595.76;31-35
148790;EMPRENDEDOR;3;I;U;F;M;51;No disponible;139658.1;51-59
149037;PERSONAL PLUS;1;F;E;S;M;35;No disponible;104305.3;31-35
149711;PERSONAL PLUS;P;O;S;M;M;55;No disponible;245910.6;51-59
149974;PERSONAL;1;I;I;F;M;34;No disponible;270673.14;31-35
150060;EMPRENDEDOR;3;O;H;M;M;53;No disponible;339823.41;51-59
150096;EMPRENDEDOR;3;I;U;D;M;32;No disponible;141903.36;31-35
150814;PERSONAL;5;O;U;M;M;54;No disponible;11125.71;51-59
151525;PREFERENCIAL;1;I;U;M;M;51;No disponible;92387.09;51-59
151993;PERSONAL;O;I;H;I;M;51;No disponible;469558.88;51-59
152209;PERSONAL;1;O;U;M;M;50;No disponible;560663;46-50
152434;PERSONAL;1;I;U;S;M;49;No disponible;412411.1;46-50
152550;PERSONAL;1;R;U;F;M;48;No disponible;10020.59;46-50
152628;PERSONAL;1;F;H;S;M;48;No disponible;129355.98;46-50
153063;PERSONAL PLUS;1;O;U;M;M;46;No disponible;235643.09;46-50
153482;PERSONAL PLUS;1;O;U;F;M;46;No disponible;104052.4;46-50
154052;EMPRENDEDOR;1;I;I;M;M;46;No disponible;5233.05;46-50
154775;PERSONAL;1;R;T;M;M;45;No disponible;986892.95;41-45
154797;EMPRENDEDOR;3;F;U;S;M;43;No disponible;75115.05;41-45
155197;PERSONAL;3;R;U;M;M;44;No disponible;433875.52;41-45
155529;EMPRENDEDOR;3;I;U;S;M;43;No disponible;269976.54;41-45
156660;PERSONAL;1;O;I;M;M;40;No disponible;367524.69;36-40
157162;PERSONAL;1;F;S;S;M;41;No disponible;329623.56;41-45
157781;PERSONAL;P;I;I;I;M;43;No disponible;134357.03;41-45
158078;EMPRENDEDOR;3;I;U;F;M;43;No disponible;86091.79;41-45
158579;PERSONAL PLUS;1;F;U;F;M;41;No disponible;109006.43;41-45
159176;PERSONAL;1;F;U;I;M;38;No disponible;59745.56;36-40
160202;PERSONAL;1;F;H;M;M;40;No disponible;194181.93;36-40
160284;PERSONAL PLUS;1;O;U;I;M;39;No disponible;145347.4;36-40
160312;OTRO;1;F;U;S;M;38;No disponible;692507;36-40
160591;PERSONAL;1;F;U;S;M;39;No disponible;645567.8;36-40
161080;PERSONAL;1;I;U;S;M;39;No disponible;158596.5;36-40
161340;PERSONAL;2;F;H;S;M;37;No disponible;260166.8;36-40
161347;PERSONAL PLUS;1;I;U;F;M;36;No disponible;10468.63;36-40
161594;PERSONAL;1;F;S;F;M;35;No disponible;144329.89;31-35
161650;PERSONAL;1;I;H;S;M;35;No disponible;247082.78;31-35
162112;OTRO;1;I;I;M;F;37;No disponible;20621.86;36-40
162185;PERSONAL PLUS;1;I;U;S;M;34;No disponible;1286734.75;31-35
162229;PERSONAL;1;I;T;M;M;33;No disponible;75574.98;31-35
162286;PERSONAL PLUS;1;I;I;S;M;33;No disponible;91587.3;31-35
162452;PERSONAL;1;I;T;M;M;38;No disponible;104082.14;36-40
162606;PERSONAL;1;F;E;S;M;37;No disponible;274058.2;36-40
162673;PERSONAL PLUS;1;F;U;S;M;36;No disponible;291881.5;36-40
162730;PERSONAL;E;F;U;M;M;36;No disponible;493610.7;36-40
163238;PERSONAL;1;F;E;F;M;35;No disponible;184331.83;31-35
163245;PERSONAL;1;I;U;F;M;35;No disponible;5073.56;31-35
163270;EMPRENDEDOR;3;F;T;M;M;37;No disponible;76586.43;36-40
163346;EMPRENDEDOR;3;I;U;D;M;35;No disponible;35357.65;31-35
163354;EMPRENDEDOR;3;F;U;S;M;34;No disponible;213494.82;31-35
163771;OTRO;1;R;T;S;M;34;No disponible;73483.93;31-35
163805;PERSONAL;1;F;U;S;M;38;No disponible;261539.13;36-40
164574;PERSONAL;1;F;U;S;M;35;No disponible;59913.66;31-35
164603;PERSONAL;1;I;T;F;M;35;No disponible;71355.02;31-35
164666;PERSONAL;1;F;T;S;M;34;No disponible;260160.1;31-35
164833;PERSONAL;1;F;E;F;M;35;No disponible;838593.25;31-35
164888;OTRO;1;R;U;S;M;35;No disponible;350763.53;31-35
164951;PERSONAL PLUS;1;F;U;M;M;34;No disponible;765607.17;31-35
165647;PERSONAL PLUS;P;F;U;S;M;38;No disponible;325775.01;36-40
165762;EMPRENDEDOR;3;I;I;S;M;38;No disponible;83556.85;36-40
165772;PERSONAL;1;F;T;F;M;38;No disponible;284181.5;36-40
166076;OTRO;1;F;I;F;M;35;No disponible;129632.22;31-35
166266;PERSONAL;5;I;I;S;M;54;No disponible;43688.24;51-59
166429;PERSONAL PLUS;5;F;S;M;M;51;No disponible;160226.78;51-59
166443;PERSONAL;1;I;I;M;M;48;No disponible;90231.73;46-50
167142;PERSONAL;E;I;I;S;M;45;No disponible;50671.55;41-45
167674;PERSONAL;1;I;U;S;M;33;No disponible;223763.98;31-35
167919;PERSONAL;1;F;T;M;M;36;No disponible;49699.4;36-40
167953;PERSONAL;1;I;U;M;M;36;No disponible;292610.9;36-40
168346;PERSONAL;1;F;T;S;M;34;No disponible;401823.44;31-35
168662;PERSONAL PLUS;1;R;S;S;M;33;No disponible;720710.11;31-35
168686;PERSONAL;1;I;U;S;M;32;No disponible;634001.61;31-35
168822;PERSONAL;1;F;U;M;M;34;No disponible;396867.24;31-35
168860;PERSONAL PLUS;1;R;U;S;M;34;No disponible;230224.47;31-35
168861;PERSONAL;1;I;E;S;M;35;No disponible;305476.4;31-35
168873;PERSONAL;1;I;E;F;M;33;No disponible;78346.37;31-35
168949;PERSONAL;1;F;U;S;M;34;No disponible;63401.35;31-35
168959;PERSONAL;1;I;U;F;M;35;No disponible;77077.55;31-35
169509;EMPRENDEDOR;1;I;I;S;M;33;No disponible;23212.51;31-35
169798;PERSONAL;1;I;I;S;M;34;No disponible;216312.4;31-35
169813;PERSONAL;1;R;U;S;M;33;No disponible;605005.8;31-35
170199;PERSONAL;1;I;U;S;M;33;No disponible;157315.9;31-35
170282;PERSONAL;1;O;H;S;M;32;No disponible;77912.46;31-35
170456;PERSONAL;1;I;I;S;M;32;No disponible;249018;31-35
170459;PERSONAL;1;F;T;I;M;32;No disponible;244930.85;31-35
171058;PERSONAL;1;R;U;S;M;34;No disponible;36261.25;31-35
171546;PERSONAL;1;I;T;M;M;48;No disponible;535843.16;46-50
171578;PERSONAL;1;I;T;F;M;33;No disponible;1299087.09;31-35
172088;PERSONAL;1;R;T;M;M;38;No disponible;446225;36-40
172142;PERSONAL;1;F;U;S;M;36;No disponible;787844.37;36-40
173437;PERSONAL PLUS;1;I;I;S;M;35;No disponible;677289.15;31-35
174610;PERSONAL;1;O;T;F;M;48;No disponible;166700.09;46-50
175963;EMPRENDEDOR;3;R;U;M;M;34;No disponible;72863.64;31-35
176031;PERSONAL;1;I;U;S;M;34;No disponible;123044.4;31-35
177552;EMPRENDEDOR;3;F;B;F;M;44;No disponible;71000.16;41-45
177660;EMPRENDEDOR;3;R;T;F;M;41;No disponible;32611.06;41-45
178269;PERSONAL;1;I;U;S;M;36;No disponible;14626.44;36-40
178679;PERSONAL;5;I;U;S;M;46;No disponible;252038.2;46-50
179117;PERSONAL;1;I;I;M;M;43;No disponible;5099.07;41-45
179151;EMPRENDEDOR;3;O;U;M;M;43;No disponible;159673.4;41-45
179280;PERSONAL;1;F;U;I;M;42;No disponible;237422.68;41-45
179369;PERSONAL;1;R;I;I;M;44;No disponible;229854.58;41-45
179529;PERSONAL;1;F;U;M;M;36;No disponible;783823.69;36-40
179984;OTRO;1;R;U;D;M;40;No disponible;96348.28;36-40
180052;PERSONAL;S;F;T;M;M;40;No disponible;86887.66;36-40
180102;PERSONAL;1;I;I;I;M;39;No disponible;10023.02;36-40
180381;PERSONAL;1;I;I;S;M;33;No disponible;227527.33;31-35
180494;PERSONAL;S;I;I;I;M;33;No disponible;76036.92;31-35
180628;OTRO;1;I;U;M;M;33;No disponible;371472.24;31-35
181017;PERSONAL;1;R;U;M;M;48;No disponible;129015.04;46-50
182980;PERSONAL PLUS;1;O;S;S;M;49;No disponible;142423.27;46-50
183052;PERSONAL;1;F;T;F;M;48;No disponible;388232.63;46-50
184028;PERSONAL;1;I;U;S;M;41;No disponible;647513.21;41-45
185958;PERSONAL;5;I;I;I;M;73;No disponible;4050.56;mas 60
186053;PERSONAL PLUS;1;I;U;S;M;32;No disponible;432771.6;31-35
186179;EMPRENDEDOR;3;I;H;M;M;47;No disponible;1196442.13;46-50
186306;PERSONAL PLUS;1;I;S;S;F;34;No disponible;325500.73;31-35
193371;PERSONAL;1;I;T;S;M;22;No disponible;41744.18;menos 25
193403;PERSONAL;2;I;U;S;M;27;No disponible;37247.79;25-30
194123;PERSONAL;1;I;I;S;F;21;No disponible;50351.34;menos 25
194235;PERSONAL;1;I;I;S;M;22;No disponible;44385.67;menos 25
194258;PERSONAL PLUS;1;F;U;S;M;29;No disponible;758061.68;25-30
194895;PERSONAL;1;I;H;S;M;20;No disponible;81262.5;menos 25
195512;PERSONAL;1;I;U;S;M;29;No disponible;131035.64;25-30
195528;PERSONAL;1;I;T;S;M;29;No disponible;88725.02;25-30
195723;PERSONAL;1;I;I;S;M;28;No disponible;55843.66;25-30
195748;OTRO;1;I;T;S;F;28;No disponible;58008.76;25-30
195987;PERSONAL;1;I;B;S;F;27;No disponible;51204.81;25-30
196021;EMPRENDEDOR;3;I;U;S;M;27;No disponible;46183.56;25-30
196269;PERSONAL;1;I;I;S;F;25;No disponible;66513.86;25-30
196402;PERSONAL;1;I;I;D;F;24;No disponible;166880.25;menos 25
196458;PERSONAL;1;R;B;D;M;42;No disponible;75737.03;41-45
196627;PERSONAL;1;I;I;S;M;22;No disponible;236716.2;menos 25
196904;PERSONAL;1;R;T;S;F;32;No disponible;64644.85;31-35
197235;PERSONAL;1;F;U;S;M;28;No disponible;460036.21;25-30
197326;PERSONAL;1;F;T;M;F;27;No disponible;261490.46;25-30
197348;PERSONAL;1;I;T;M;M;27;No disponible;110760.33;25-30
198169;PERSONAL;1;I;U;S;F;30;No disponible;840528.25;25-30
198184;PERSONAL;1;I;U;M;F;30;No disponible;1326963.09;25-30
198240;PERSONAL PLUS;1;I;U;F;M;30;No disponible;250084.3;25-30
198357;PERSONAL;1;F;U;S;M;29;No disponible;183109.78;25-30
198433;PERSONAL;1;F;U;S;M;28;No disponible;57548.01;25-30
198752;PERSONAL;1;I;U;S;F;27;No disponible;280863.87;25-30
199105;PERSONAL;1;I;U;S;M;24;No disponible;303569.19;menos 25
199236;PERSONAL;1;I;H;D;M;23;No disponible;104881.75;menos 25
199393;PERSONAL;1;I;T;S;F;21;No disponible;101379.49;menos 25
199755;PERSONAL;1;I;U;S;F;30;No disponible;156319.49;25-30
200000;PERSONAL;1;I;I;S;M;29;No disponible;193679.39;25-30
200215;PERSONAL;1;I;T;S;M;28;No disponible;165655.17;25-30
200289;PERSONAL;1;F;U;S;M;28;No disponible;170752.98;25-30
200333;PERSONAL;1;I;U;S;M;28;No disponible;850865.58;25-30
200810;PERSONAL;2;I;I;S;M;26;No disponible;179938;25-30
200814;PERSONAL;1;I;I;S;F;26;No disponible;164035.33;25-30
200821;PERSONAL;1;I;I;S;F;26;No disponible;910364.09;25-30
